created_at,text
2017-06-22 16:07:46,Come up to the 4th floor of the GSU to meet some of the CSC staff and learn more about our programs! https://t.co/jt0KEh2q8U
2017-06-20 13:32:41,"RT @unfoundation: On #RefugeeDay, @MastercardNews + @WesternUnion debut new project that will increase access to goods for #Refugees: https…"
2017-06-20 13:32:00,RT @ClintSmithIII: Spent Juneteenth rereading ads taken out by formerly enslaved ppl searching for their family. Freedom was often accompan…
2017-06-20 13:30:32,"RT @wgbhnews: Boston is opening a shelter to help alleviate problems along the city's ""Methadone Mile."" https://t.co/gLPKHSvt7b"
2017-06-20 13:28:24,"RT @MorningEdition: Sen. Bernie Sanders: ""Why are we the only major country on Earth not to guarantee health care to all people?"" https://t…"
2017-06-20 13:27:20,RT @7News: Deal reached to fund downtown Boston park https://t.co/wanl65CU1g #7News
2017-06-16 13:14:59,"RT @BostonUMBB: Great morning at the Brookline Food Pantry. We unloaded 3,500 lbs of food and stocked the shelves for their community groce…"
2017-06-15 14:58:52,Come meet our amazing FYSOP Coordinators! https://t.co/nov4vcFZNI
2017-06-10 22:29:30,RT @heyfysop: ️‍Celebrating #PrideBoston and getting a glimpse of the unity and strength of our city!️‍ #FYSOP2017 https://t.co/X2r72Pt…
2017-06-08 17:28:01,RT @heyfysop: CHALLENGE: Take a selfie with a FYSOP staff member (blue shirts) &amp; post it to Twitter/insta with the tag #FYSOP2017 for a cha…
2017-05-25 20:48:01,"RT @TEDTalks: Affordable housing should be a right, not a privilege. https://t.co/IDW61QV40l https://t.co/5aByiUMmQV"
2017-04-25 16:32:49,Happening TONIGHT! https://t.co/L2HuGxtiXF
2017-04-13 15:30:06,We featured the International Institute of New England to learn about their work with immigrants/refugees!   https://t.co/mJ86CadeCJ
2017-04-08 17:09:37,Another GDS group is with @PineStreetInn today! SO jazzed about their mission to help folks find sustainable housing!   https://t.co/P3dhiDhKqZ
2017-04-08 16:51:13,One GDS group is at Spontaneous Celebrations! They're doing some spring cleaning and cutting bottles for their upcoming lantern festival! https://t.co/9S4ycRr3JK
2017-04-08 13:43:09,"Happy first day of GDS! Thanks to everyone who is participating today, you're going to have quite an impact. "
2017-04-06 19:11:56,"Here's our fun events and happenings for April! We turn 30 this month, so take a breather from class &amp; join us!  cscevent@bu.edu for info. https://t.co/a7V10UR8y1"
2017-04-05 23:30:27,"RT @bualumni: Oh, in case you were wondering. The Recent Grad @BUCSC Challenge was achieved! They've gained an additional $500 to their fun…"
